ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
15,"$200,000+",2016,2016,33617,2360,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.084146842
0,"< $10,000",2015,2015,22064,2387,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.055554856
1,"$10,000-$14,999",2015,2015,16519,1898,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.041593123
2,"$15,000-$19,999",2015,2015,18622,2153,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.046888258
3,"$20,000-$24,999",2015,2015,20152,2416,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.050740639
4,"$25,000-$29,999",2015,2015,20013,2473,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.050390652
5,"$30,000-$34,999",2015,2015,22692,2622,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.057136095
6,"$35,000-$39,999",2015,2015,17447,1959,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.043929731
7,"$40,000-$44,999",2015,2015,19283,2348,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.048552588
8,"$45,000-$49,999",2015,2015,15717,1888,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.039573771
9,"$50,000-$59,999",2015,2015,33883,2967,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.085313868
10,"$60,000-$74,999",2015,2015,34068,2356,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.085779679
11,"$75,000-$99,999",2015,2015,46455,3249,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.116968856
12,"$100,000-$124,999",2015,2015,35010,3208,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.088151537
13,"$125,000-$149,999",2015,2015,21020,2196,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.052926173
14,"$150,000-$199,999",2015,2015,24100,2066,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.060681292
15,"$200,000+",2015,2015,30112,2237,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.075818883
0,"< $10,000",2014,2014,26491,2654,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.06809203
1,"$10,000-$14,999",2014,2014,17425,1815,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.044788933
2,"$15,000-$19,999",2014,2014,17442,1873,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.044832629
3,"$20,000-$24,999",2014,2014,18711,2250,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.048094446
4,"$25,000-$29,999",2014,2014,17492,1990,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.044961149
5,"$30,000-$34,999",2014,2014,17024,1953,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.043758209
6,"$35,000-$39,999",2014,2014,19279,2280,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.049554424
7,"$40,000-$44,999",2014,2014,18992,2098,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.048816724
8,"$45,000-$49,999",2014,2014,15675,1990,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.040290762
9,"$50,000-$59,999",2014,2014,28367,2330,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.07291407
10,"$60,000-$74,999",2014,2014,41376,2898,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.106352189
11,"$75,000-$99,999",2014,2014,50266,3190,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.129202898
12,"$100,000-$124,999",2014,2014,30728,2556,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.078982745
13,"$125,000-$149,999",2014,2014,19312,1961,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.049639247
14,"$150,000-$199,999",2014,2014,21094,2213,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.05421967
15,"$200,000+",2014,2014,29373,2341,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.075499875
0,"< $10,000",2013,2013,25029,2289,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.066352432
1,"$10,000-$14,999",2013,2013,16192,2268,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.04292535
2,"$15,000-$19,999",2013,2013,17670,2214,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.046843561
3,"$20,000-$24,999",2013,2013,19125,2622,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.050700798
4,"$25,000-$29,999",2013,2013,22214,2659,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.058889805
5,"$30,000-$34,999",2013,2013,19726,2300,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.052294062
6,"$35,000-$39,999",2013,2013,18442,2337,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.04889015
7,"$40,000-$44,999",2013,2013,19263,2304,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.051066639
8,"$45,000-$49,999",2013,2013,16823,2094,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.044598145
9,"$50,000-$59,999",2013,2013,31246,2583,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.082833837
10,"$60,000-$74,999",2013,2013,35988,2938,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.095404983
11,"$75,000-$99,999",2013,2013,40754,2792,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.108039755
12,"$100,000-$124,999",2013,2013,28611,2382,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.075848393
13,"$125,000-$149,999",2013,2013,18737,1781,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.049672201
14,"$150,000-$199,999",2013,2013,21356,2042,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.056615228
15,"$200,000+",2013,2013,26037,2148,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.069024662
